file_key,rep,combo_idx,amp,cutoff0,cutoff1,numValid,eps_ratio,swer,errors,gt_syllables,num_intervals,hit_rate,eff_rate,error
02-2,(none),9,1.3,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),10,1.3,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),11,1.3,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),12,1.4,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),13,1.4,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),14,1.4,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),15,1.5,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),16,1.5,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),17,1.5,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),18,1.7,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),19,1.7,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),20,1.7,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
01-4,(none),22,2.0,0,5400,5000,0.04,0.074766,16,214,118,0.8533,0.9844,
01-4,(none),23,2.0,0,5400,5000,0.06,0.070093,15,214,118,0.8535,0.9844,
02-1,(none),0,1.01,0,5400,5000,0.02,0.0,0,226,113,0.9948,0.915,
02-1,(none),1,1.01,0,5400,5000,0.04,0.0,0,226,113,0.9948,0.9137,
02-1,(none),2,1.01,0,5400,5000,0.06,0.0,0,226,113,0.9948,0.9156,
02-1,(none),3,1.1,0,5400,5000,0.02,0.0,0,226,113,0.9903,0.9492,
02-1,(none),4,1.1,0,5400,5000,0.04,0.0,0,226,113,0.9903,0.95,
02-1,(none),5,1.1,0,5400,5000,0.06,0.0,0,226,113,0.9903,0.9508,
02-1,(none),6,1.2,0,5400,5000,0.02,0.0,0,226,113,0.9867,0.9668,
02-1,(none),7,1.2,0,5400,5000,0.04,0.0,0,226,113,0.9867,0.967,
02-1,(none),8,1.2,0,5400,5000,0.06,0.0,0,226,113,0.9867,0.9706,
02-1,(none),9,1.3,0,5400,5000,0.02,0.0,0,226,113,0.9834,0.9817,
02-1,(none),10,1.3,0,5400,5000,0.04,0.0,0,226,113,0.9834,0.9817,
02-1,(none),11,1.3,0,5400,5000,0.06,0.0,0,226,113,0.9834,0.982,
02-1,(none),12,1.4,0,5400,5000,0.02,0.0,0,226,113,0.9799,0.9861,
02-1,(none),12,1.4,0,5400,5000,0.02,0.0,0,226,113,0.9799,0.9861,
02-1,(none),13,1.4,0,5400,5000,0.04,0.0,0,226,113,0.9799,0.9861,
02-1,(none),13,1.4,0,5400,5000,0.04,0.0,0,226,113,0.9799,0.9861,
02-1,(none),14,1.4,0,5400,5000,0.06,0.0,0,226,113,0.9799,0.9861,
02-1,(none),14,1.4,0,5400,5000,0.06,0.0,0,226,113,0.9799,0.9861,
02-1,(none),15,1.5,0,5400,5000,0.02,0.004425,1,226,113,0.9769,0.9901,
02-1,(none),15,1.5,0,5400,5000,0.02,0.0,0,226,113,0.9769,0.9901,
02-1,(none),16,1.5,0,5400,5000,0.04,0.004425,1,226,113,0.9769,0.9901,
02-1,(none),16,1.5,0,5400,5000,0.04,0.004425,1,226,113,0.9769,0.9901,
02-1,(none),17,1.5,0,5400,5000,0.06,0.0,0,226,113,0.9769,0.9901,
02-1,(none),17,1.5,0,5400,5000,0.06,0.0,0,226,113,0.9769,0.9901,
02-1,(none),18,1.7,0,5400,5000,0.02,0.004425,1,226,113,0.9719,0.9938,
02-1,(none),18,1.7,0,5400,5000,0.02,0.004425,1,226,113,0.9719,0.9938,
02-1,(none),19,1.7,0,5400,5000,0.04,0.004425,1,226,113,0.9719,0.9938,
02-1,(none),19,1.7,0,5400,5000,0.04,0.004425,1,226,113,0.9719,0.9938,
02-1,(none),20,1.7,0,5400,5000,0.06,0.0,0,226,113,0.9719,0.9938,
02-1,(none),20,1.7,0,5400,5000,0.06,0.0,0,226,113,0.9719,0.9938,
02-1,(none),21,2.0,0,5400,5000,0.02,0.0,0,226,113,0.9636,0.9966,
02-1,(none),21,2.0,0,5400,5000,0.02,0.0,0,226,113,0.9636,0.9966,
02-1,(none),22,2.0,0,5400,5000,0.04,0.0,0,226,113,0.9636,0.9966,
02-1,(none),22,2.0,0,5400,5000,0.04,0.0,0,226,113,0.9636,0.9966,
02-1,(none),23,2.0,0,5400,5000,0.06,0.0,0,226,113,0.9636,0.9966,
02-1,(none),23,2.0,0,5400,5000,0.06,0.0,0,226,113,0.9636,0.9966,
02-2,(none),0,1.01,0,5400,5000,0.02,0.028226,7,248,125,0.9959,0.9206,
02-2,(none),0,1.01,0,5400,5000,0.02,0.028226,7,248,125,0.9959,0.9206,
02-2,(none),1,1.01,0,5400,5000,0.04,0.032258,8,248,125,0.9965,0.917,
02-2,(none),1,1.01,0,5400,5000,0.04,0.028226,7,248,125,0.9965,0.917,
02-2,(none),2,1.01,0,5400,5000,0.06,0.024194,6,248,126,0.9934,0.9241,
02-2,(none),2,1.01,0,5400,5000,0.06,0.032258,8,248,126,0.9934,0.9241,
02-2,(none),3,1.1,0,5400,5000,0.02,0.028226,7,248,125,0.9948,0.882,
02-2,(none),4,1.1,0,5400,5000,0.04,0.020161,5,248,125,0.9946,0.9474,
02-2,(none),3,1.1,0,5400,5000,0.02,0.032258,8,248,125,0.9948,0.882,
02-2,(none),5,1.1,0,5400,5000,0.06,0.008065,2,248,126,0.9917,0.9498,
02-2,(none),4,1.1,0,5400,5000,0.04,0.024194,6,248,125,0.9946,0.9474,
02-2,(none),6,1.2,0,5400,5000,0.02,0.024194,6,248,125,0.993,0.9668,
02-2,(none),5,1.1,0,5400,5000,0.06,0.004032,1,248,126,0.9917,0.9498,
02-2,(none),7,1.2,0,5400,5000,0.04,0.028226,7,248,125,0.993,0.9671,
02-2,(none),6,1.2,0,5400,5000,0.02,0.024194,6,248,125,0.993,0.9668,
02-2,(none),7,1.2,0,5400,5000,0.04,0.028226,7,248,125,0.993,0.9671,
02-2,(none),8,1.2,0,5400,5000,0.06,0.020161,5,248,125,0.993,0.9649,
02-2,(none),8,1.2,0,5400,5000,0.06,0.016129,4,248,125,0.993,0.9649,
02-2,(none),9,1.3,0,5400,5000,0.02,0.028226,7,248,125,0.9907,0.9722,
02-2,(none),9,1.3,0,5400,5000,0.02,0.020161,5,248,125,0.9907,0.9722,
02-2,(none),10,1.3,0,5400,5000,0.04,0.024194,6,248,125,0.9919,0.9739,
02-2,(none),10,1.3,0,5400,5000,0.04,0.020161,5,248,125,0.9919,0.9739,
02-2,(none),11,1.3,0,5400,5000,0.06,0.016129,4,248,125,0.9917,0.9738,
02-2,(none),11,1.3,0,5400,5000,0.06,0.020161,5,248,125,0.9917,0.9738,
02-2,(none),12,1.4,0,5400,5000,0.02,0.020161,5,248,125,0.9883,0.9783,
02-2,(none),12,1.4,0,5400,5000,0.02,0.020161,5,248,125,0.9883,0.9783,
02-2,(none),13,1.4,0,5400,5000,0.04,0.024194,6,248,125,0.9896,0.9784,
02-2,(none),13,1.4,0,5400,5000,0.04,0.024194,6,248,125,0.9896,0.9784,
02-2,(none),14,1.4,0,5400,5000,0.06,0.020161,5,248,125,0.9895,0.9782,
02-2,(none),14,1.4,0,5400,5000,0.06,0.020161,5,248,125,0.9895,0.9782,
02-2,(none),15,1.5,0,5400,5000,0.02,0.028226,7,248,126,0.9848,0.9667,
02-2,(none),15,1.5,0,5400,5000,0.02,0.03629,9,248,126,0.9848,0.9667,
02-2,(none),16,1.5,0,5400,5000,0.04,0.024194,6,248,126,0.9855,0.9801,
02-2,(none),16,1.5,0,5400,5000,0.04,0.020161,5,248,126,0.9855,0.9801,
02-2,(none),17,1.5,0,5400,5000,0.06,0.020161,5,248,126,0.9841,0.9803,
02-2,(none),17,1.5,0,5400,5000,0.06,0.024194,6,248,126,0.9841,0.9803,
02-2,(none),18,1.7,0,5400,5000,0.02,0.024194,6,248,125,0.9833,0.9723,
02-2,(none),18,1.7,0,5400,5000,0.02,0.024194,6,248,125,0.9833,0.9723,
02-2,(none),19,1.7,0,5400,5000,0.04,0.016129,4,248,125,0.9839,0.986,
02-2,(none),19,1.7,0,5400,5000,0.04,0.016129,4,248,125,0.9839,0.986,
02-2,(none),20,1.7,0,5400,5000,0.06,0.024194,6,248,125,0.9829,0.9535,
02-2,(none),20,1.7,0,5400,5000,0.06,0.020161,5,248,125,0.9829,0.9535,
02-2,(none),21,2.0,0,5400,5000,0.02,0.028226,7,248,126,0.9754,0.943,
02-2,(none),21,2.0,0,5400,5000,0.02,0.028226,7,248,126,0.9754,0.943,
02-2,(none),22,2.0,0,5400,5000,0.04,0.020161,5,248,126,0.9756,0.9552,
02-2,(none),22,2.0,0,5400,5000,0.04,0.028226,7,248,126,0.9756,0.9552,
02-2,(none),23,2.0,0,5400,5000,0.06,0.016129,4,248,127,0.9719,0.9556,
02-3,(none),0,1.01,0,5400,5000,0.02,0.00885,2,226,113,0.9928,0.939,
